Freq.	V(vout)
Step Information: Run=1  (Run: 1/15)
5.00000000000000e-002	(-1.10430905318767e+001dB,7.37133203952348e+001°)
5.03852407068052e-002	(-1.09817043431725e+001dB,7.35945579278797e+001°)
5.07734496216540e-002	(-1.09203932760572e+001dB,7.34750268749314e+001°)
5.11646496140377e-002	(-1.08591583046675e+001dB,7.33547243568136e+001°)
5.15588637296528e-002	(-1.07980004130710e+001dB,7.32336475296095e+001°)
5.19561151917585e-002	(-1.07369205952899e+001dB,7.31117935862454e+001°)
5.23564274025450e-002	(-1.06759198553219e+001dB,7.29891597576920e+001°)
5.27598239445120e-002	(-1.06149992071586e+001dB,7.28657433141814e+001°)
5.31663285818581e-002	(-1.05541596748022e+001dB,7.27415415664410e+001°)
5.35759652618804e-002	(-1.04934022922780e+001dB,7.26165518669434e+001°)
5.39887581163855e-002	(-1.04327281036449e+001dB,7.24907716111730e+001°)
5.44047314631114e-002	(-1.03721381630035e+001dB,7.23641982389083e+001°)
5.48239098071593e-002	(-1.03116335344998e+001dB,7.22368292355204e+001°)
5.52463178424380e-002	(-1.02512152923273e+001dB,7.21086621332874e+001°)
5.56719804531181e-002	(-1.01908845207249e+001dB,7.19796945127239e+001°)
5.61009227150982e-002	(-1.01306423139724e+001dB,7.18499240039265e+001°)
5.65331698974820e-002	(-1.00704897763816e+001dB,7.17193482879347e+001°)
5.69687474640669e-002	(-1.00104280222851e+001dB,7.15879650981058e+001°)
5.74076810748442e-002	(-9.95045817602091e+000dB,7.14557722215059e+001°)
5.78499965875106e-002	(-9.89058137191344e+000dB,7.13227675003144e+001°)
5.82957200589917e-002	(-9.83079875425112e+000dB,7.11889488332432e+001°)
5.87448777469766e-002	(-9.77111147725999e+000dB,7.10543141769698e+001°)
5.91974961114652e-002	(-9.71152070507339e+000dB,7.09188615475839e+001°)
5.96536018163268e-002	(-9.65202761169781e+000dB,7.07825890220471e+001°)
6.01132217308707e-002	(-9.59263338097447e+000dB,7.06454947396666e+001°)
6.05763829314295e-002	(-9.53333920653689e+000dB,7.05075769035795e+001°)
6.10431127029537e-002	(-9.47414629176406e+000dB,7.03688337822515e+001°)
6.15134385406192e-002	(-9.41505584972933e+000dB,7.02292637109855e+001°)
6.19873881514473e-002	(-9.35606910314479e+000dB,7.00888650934427e+001°)
6.24649894559368e-002	(-9.29718728430113e+000dB,6.99476364031739e+001°)
6.29462705897085e-002	(-9.23841163500280e+000dB,6.98055761851615e+001°)
6.34312599051631e-002	(-9.17974340649845e+000dB,6.96626830573711e+001°)
6.39199859731513e-002	(-9.12118385940660e+000dB,6.95189557123126e+001°)
6.44124775846568e-002	(-9.06273426363622e+000dB,6.93743929186102e+001°)
6.49087637524926e-002	(-9.00439589830243e+000dB,6.92289935225801e+001°)
6.54088737130099e-002	(-8.94617005163705e+000dB,6.90827564498163e+001°)
6.59128369278205e-002	(-8.88805802089389e+000dB,6.89356807067835e+001°)
6.64206830855327e-002	(-8.83006111224879e+000dB,6.87877653824154e+001°)
6.69324421034998e-002	(-8.77218064069427e+000dB,6.86390096497197e+001°)
6.74481441295828e-002	(-8.71441792992872e+000dB,6.84894127673875e+001°)
6.79678195439265e-002	(-8.65677431223997e+000dB,6.83389740814072e+001°)
6.84914989607487e-002	(-8.59925112838328e+000dB,6.81876930266815e+001°)
6.90192132301444e-002	(-8.54184972745362e+000dB,6.80355691286473e+001°)
6.95509934399028e-002	(-8.48457146675204e+000dB,6.78826020048978e+001°)
7.00868709173387e-002	(-8.42741771164626e+000dB,6.77287913668054e+001°)
7.06268772311379e-002	(-8.37038983542522e+000dB,6.75741370211446e+001°)
7.11710441932173e-002	(-8.31348921914768e+000dB,6.74186388717144e+001°)
7.17194038605985e-002	(-8.25671725148461e+000dB,6.72622969209598e+001°)
7.22719885372966e-002	(-8.20007532855541e+000dB,6.71051112715896e+001°)
7.28288307762231e-002	(-8.14356485375799e+000dB,6.69470821281920e+001°)
7.33899633811037e-002	(-8.08718723759240e+000dB,6.67882097988446e+001°)
7.39554194084106e-002	(-8.03094389747817e+000dB,6.66284946967202e+001°)
7.45252321693101e-002	(-7.97483625756516e+000dB,6.64679373416849e+001°)
7.50994352316246e-002	(-7.91886574853798e+000dB,6.63065383618899e+001°)
7.56780624218107e-002	(-7.86303380741380e+000dB,6.61442984953537e+001°)
7.62611478269512e-002	(-7.80734187733368e+000dB,6.59812185915353e+001°)
7.68487257967638e-002	(-7.75179140734712e+000dB,6.58172996128963e+001°)
7.74408309456243e-002	(-7.69638385219010e+000dB,6.56525426364510e+001°)
7.80374981546059e-002	(-7.64112067205625e+000dB,6.54869488553033e+001°)
7.86387625735337e-002	(-7.58600333236144e+000dB,6.53205195801697e+001°)
7.92446596230560e-002	(-7.53103330350148e+000dB,6.51532562408862e+001°)
7.98552249967305e-002	(-7.47621206060312e+000dB,6.49851603878987e+001°)
8.04704946631271e-002	(-7.42154108326818e+000dB,6.48162336937352e+001°)
8.10905048679468e-002	(-7.36702185531090e+000dB,6.46464779544588e+001°)
8.17152921361572e-002	(-7.31265586448850e+000dB,6.44758950911002e+001°)
8.23448932741438e-002	(-7.25844460222482e+000dB,6.43044871510676e+001°)
8.29793453718784e-002	(-7.20438956332724e+000dB,6.41322563095342e+001°)
8.36186858051043e-002	(-7.15049224569675e+000dB,6.39592048708004e+001°)
8.42629522375379e-002	(-7.09675415003122e+000dB,6.37853352696303e+001°)
8.49121826230876e-002	(-7.04317677952190e+000dB,6.36106500725604e+001°)
8.55664152080894e-002	(-6.98976163954322e+000dB,6.34351519791804e+001°)
8.62256885335605e-002	(-6.93651023733582e+000dB,6.32588438233830e+001°)
8.68900414374692e-002	(-6.88342408168295e+000dB,6.30817285745820e+001°)
8.75595130570233e-002	(-6.83050468258027e+000dB,6.29038093388983e+001°)
8.82341428309754e-002	(-6.77775355089903e+000dB,6.27250893603103e+001°)
8.89139705019466e-002	(-6.72517219804282e+000dB,6.25455720217691e+001°)
8.95990361187671e-002	(-6.67276213559784e+000dB,6.23652608462764e+001°)
9.02893800388363e-002	(-6.62052487497684e+000dB,6.21841594979228e+001°)
9.09850429304996e-002	(-6.56846192705674e+000dB,6.20022717828868e+001°)
9.16860657754446e-002	(-6.51657480181018e+000dB,6.18196016503913e+001°)
9.23924898711150e-002	(-6.46486500793087e+000dB,6.16361531936173e+001°)
9.31043568331439e-002	(-6.41333405245302e+000dB,6.14519306505732e+001°)
9.38217085978048e-002	(-6.36198344036493e+000dB,6.12669384049170e+001°)
9.45445874244826e-002	(-6.31081467421680e+000dB,6.10811809867326e+001°)
9.52730358981629e-002	(-6.25982925372297e+000dB,6.08946630732553e+001°)
9.60070969319406e-002	(-6.20902867535868e+000dB,6.07073894895483e+001°)
9.67468137695481e-002	(-6.15841443195144e+000dB,6.05193652091268e+001°)
9.74922299879028e-002	(-6.10798801226740e+000dB,6.03305953545291e+001°)
9.82433894996739e-002	(-6.05775090059251e+000dB,6.01410851978326e+001°)
