Freq.	V(vout)
5.00000000000000e+002	(-2.27473416971272e+000dB,-4.04399017591237e+001°)
5.03852407068052e+002	(-2.30406865622305e+000dB,-4.06784075179147e+001°)
5.07734496216540e+002	(-2.33372190889755e+000dB,-4.09175668373685e+001°)
5.11646496140377e+002	(-2.36369624675031e+000dB,-4.11573708847337e+001°)
5.15588637296528e+002	(-2.39399399038179e+000dB,-4.13978107328607e+001°)
5.19561151917585e+002	(-2.42461746204890e+000dB,-4.16388773629322e+001°)
5.23564274025450e+002	(-2.45556898575318e+000dB,-4.18805616672743e+001°)
5.27598239445121e+002	(-2.48685088734781e+000dB,-4.21228544522468e+001°)
5.31663285818581e+002	(-2.51846549466395e+000dB,-4.23657464412123e+001°)
5.35759652618804e+002	(-2.55041513765719e+000dB,-4.26092282775826e+001°)
5.39887581163855e+002	(-2.58270214857480e+000dB,-4.28532905279429e+001°)
5.44047314631114e+002	(-2.61532886214428e+000dB,-4.30979236852502e+001°)
5.48239098071593e+002	(-2.64829761578400e+000dB,-4.33431181721073e+001°)
5.52463178424380e+002	(-2.68161074983670e+000dB,-4.35888643441101e+001°)
5.56719804531181e+002	(-2.71527060782634e+000dB,-4.38351524932659e+001°)
5.61009227150983e+002	(-2.74927953673905e+000dB,-4.40819728514842e+001°)
5.65331698974820e+002	(-2.78363988732908e+000dB,-4.43293155941353e+001°)
5.69687474640669e+002	(-2.81835401445007e+000dB,-4.45771708436778e+001°)
5.74076810748442e+002	(-2.85342427741276e+000dB,-4.48255286733524e+001°)
5.78499965875106e+002	(-2.88885304036952e+000dB,-4.50743791109403e+001°)
5.82957200589917e+002	(-2.92464267272664e+000dB,-4.53237121425855e+001°)
5.87448777469766e+002	(-2.96079554958500e+000dB,-4.55735177166787e+001°)
5.91974961114652e+002	(-2.99731405220993e+000dB,-4.58237857478005e+001°)
5.96536018163268e+002	(-3.03420056853089e+000dB,-4.60745061207248e+001°)
6.01132217308708e+002	(-3.07145749367183e+000dB,-4.63256686944766e+001°)
6.05763829314295e+002	(-3.10908723051298e+000dB,-4.65772633064463e+001°)
6.10431127029537e+002	(-3.14709219028472e+000dB,-4.68292797765567e+001°)
6.15134385406192e+002	(-3.18547479319447e+000dB,-4.70817079114803e+001°)
6.19873881514473e+002	(-3.22423746908727e+000dB,-4.73345375089077e+001°)
6.24649894559368e+002	(-3.26338265814086e+000dB,-4.75877583618619e+001°)
6.29462705897085e+002	(-3.30291281159610e+000dB,-4.78413602630593e+001°)
6.34312599051631e+002	(-3.34283039252357e+000dB,-4.80953330093142e+001°)
6.39199859731513e+002	(-3.38313787662704e+000dB,-4.83496664059852e+001°)
6.44124775846568e+002	(-3.42383775308488e+000dB,-4.86043502714613e+001°)
6.49087637524926e+002	(-3.46493252543002e+000dB,-4.88593744416873e+001°)
6.54088737130099e+002	(-3.50642471246953e+000dB,-4.91147287747242e+001°)
6.59128369278205e+002	(-3.54831684924456e+000dB,-4.93704031553449e+001°)
6.64206830855327e+002	(-3.59061148803174e+000dB,-4.96263874996627e+001°)
6.69324421034998e+002	(-3.63331119938664e+000dB,-4.98826717597902e+001°)
6.74481441295829e+002	(-3.67641857323068e+000dB,-5.01392459285277e+001°)
6.79678195439265e+002	(-3.71993621998197e+000dB,-5.03961000440795e+001°)
6.84914989607487e+002	(-3.76386677173151e+000dB,-5.06532241947952e+001°)
6.90192132301444e+002	(-3.80821288346543e+000dB,-5.09106085239359e+001°)
6.95509934399028e+002	(-3.85297723433458e+000dB,-5.11682432344631e+001°)
7.00868709173387e+002	(-3.89816252897227e+000dB,-5.14261185938486e+001°)
7.06268772311379e+002	(-3.94377149886155e+000dB,-5.16842249389041e+001°)
7.11710441932173e+002	(-3.98980690375292e+000dB,-5.19425526806303e+001°)
7.17194038605985e+002	(-4.03627153313384e+000dB,-5.22010923090819e+001°)
7.22719885372966e+002	(-4.08316820775104e+000dB,-5.24598343982501e+001°)
7.28288307762231e+002	(-4.13049978118714e+000dB,-5.27187696109593e+001°)
7.33899633811037e+002	(-4.17826914149259e+000dB,-5.29778887037783e+001°)
7.39554194084106e+002	(-4.22647921287456e+000dB,-5.32371825319454e+001°)
7.45252321693101e+002	(-4.27513295744388e+000dB,-5.34966420543054e+001°)
7.50994352316246e+002	(-4.32423337702174e+000dB,-5.37562583382590e+001°)
7.56780624218107e+002	(-4.37378351500745e+000dB,-5.40160225647245e+001°)
7.62611478269512e+002	(-4.42378645830892e+000dB,-5.42759260331097e+001°)
