Freq.	V(vout)
5.00000000000000e+002	(-2.10162715428141e+000dB,-3.92067573472988e+001°)
5.05789727129949e+002	(-2.14307214879477e+000dB,-3.95627719804111e+001°)
5.11646496140377e+002	(-2.18521539374476e+000dB,-3.99204529044939e+001°)
5.17571083339672e+002	(-2.22806508721819e+000dB,-4.02797737141290e+001°)
5.23564274025450e+002	(-2.27162944686181e+000dB,-4.06407074800016e+001°)
5.29626862588645e+002	(-2.31591671011694e+000dB,-4.10032267669856e+001°)
5.35759652618804e+002	(-2.36093513463775e+000dB,-4.13673036532213e+001°)
5.41963457010602e+002	(-2.40669299890433e+000dB,-4.17329097501803e+001°)
5.48239098071593e+002	(-2.45319860304206e+000dB,-4.21000162237116e+001°)
5.54587407631201e+002	(-2.50046026985882e+000dB,-4.24685938160605e+001°)
5.61009227150982e+002	(-2.54848634611208e+000dB,-4.28386128688505e+001°)
5.67505407836158e+002	(-2.59728520401788e+000dB,-4.32100433470177e+001°)
5.74076810748442e+002	(-2.64686524301390e+000dB,-4.35828548636826e+001°)
5.80724306920172e+002	(-2.69723489178941e+000dB,-4.39570167059472e+001°)
5.87448777469766e+002	(-2.74840261059452e+000dB,-4.43324978615992e+001°)
5.94251113718510e+002	(-2.80037689384197e+000dB,-4.47092670467068e+001°)
6.01132217308707e+002	(-2.85316627301443e+000dB,-4.50872927340853e+001°)
6.08093000323185e+002	(-2.90677931989083e+000dB,-4.54665431826148e+001°)
6.15134385406192e+002	(-2.96122465010539e+000dB,-4.58469864673889e+001°)
6.22257305885694e+002	(-3.01651092705312e+000dB,-4.62285905106708e+001°)
6.29462705897085e+002	(-3.07264686615622e+000dB,-4.66113231136358e+001°)
6.36751540508332e+002	(-3.12964123950548e+000dB,-4.69951519888739e+001°)
6.44124775846568e+002	(-3.18750288089180e+000dB,-4.73800447936310e+001°)
6.51583389226151e+002	(-3.24624069124271e+000dB,-4.77659691637620e+001°)
6.59128369278205e+002	(-3.30586364447939e+000dB,-4.81528927483720e+001°)
6.66760716081663e+002	(-3.36638079381002e+000dB,-4.85407832451205e+001°)
6.74481441295828e+002	(-3.42780127847575e+000dB,-4.89296084361639e+001°)
6.82291568294464e+002	(-3.49013433096601e+000dB,-4.93193362247127e+001°)
6.90192132301444e+002	(-3.55338928472035e+000dB,-4.97099346721780e+001°)
6.98184180527970e+002	(-3.61757558233472e+000dB,-5.01013720358874e+001°)
7.06268772311379e+002	(-3.68270278429043e+000dB,-5.04936168073459e+001°)
7.14446979255553e+002	(-3.74878057822510e+000dB,-5.08866377510237e+001°)
7.22719885372966e+002	(-3.81581878876529e+000dB,-5.12804039436512e+001°)
7.31088587228361e+002	(-3.88382738794156e+000dB,-5.16748848140046e+001°)
7.39554194084106e+002	(-3.95281650620759e+000dB,-5.20700501831685e+001°)
7.48117828047219e+002	(-4.02279644408582e+000dB,-5.24658703052632e+001°)
7.56780624218106e+002	(-4.09377768446349e+000dB,-5.28623159086279e+001°)
7.65543730841017e+002	(-4.16577090556383e+000dB,-5.32593582374538e+001°)
7.74408309456243e+002	(-4.23878699461882e+000dB,-5.36569690938655e+001°)
7.83375535054077e+002	(-4.31283706227103e+000dB,-5.40551208804530e+001°)
7.92446596230559e+002	(-4.38793245773414e+000dB,-5.44537866432590e+001°)
8.01622695345023e+002	(-4.46408478474296e+000dB,-5.48529401152350e+001°)
8.10905048679468e+002	(-4.54130591832614e+000dB,-5.52525557601795e+001°)
8.20294886599772e+002	(-4.61960802243673e+000dB,-5.56526088171835e+001°)
8.29793453718783e+002	(-4.69900356847792e+000dB,-5.60530753456091e+001°)
8.39402009061283e+002	(-4.77950535476409e+000dB,-5.64539322706375e+001°)
8.49121826230875e+002	(-4.86112652695985e+000dB,-5.68551574294279e+001°)
8.58954193578797e+002	(-4.94388059954290e+000dB,-5.72567296179381e+001°)
8.68900414374691e+002	(-5.02778147833976e+000dB,-5.76586286384650e+001°)
8.78961806979350e+002	(-5.11284348418710e+000dB,-5.80608353479736e+001°)
8.89139705019465e+002	(-5.19908137777529e+000dB,-5.84633317072918e+001°)
8.99435457564397e+002	(-5.28651038573506e+000dB,-5.88661008312605e+001°)
9.09850429304995e+002	(-5.37514622803295e+000dB,-5.92691270399387e+001°)
9.20386000734482e+002	(-5.46500514674615e+000dB,-5.96723959109788e+001°)
9.31043568331438e+002	(-5.55610393629315e+000dB,-6.00758943332968e+001°)
9.41824544744904e+002	(-5.64845997520251e+000dB,-6.04796105621811e+001°)
9.52730358981628e+002	(-5.74209125950873e+000dB,-6.08835342759981e+001°)
9.63762456595472e+002	(-5.83701643787166e+000dB,-6.12876566346701e+001°)
9.74922299879027e+002	(-5.93325484852343e+000dB,-6.16919703401218e+001°)
9.86211368057431e+002	(-6.03082655815590e+000dB,-6.20964696989104e+001°)
9.97631157484444e+002	(-6.12975240287097e+000dB,-6.25011506872804e+001°)
1.00918318184079e+003	(-6.23005403132625e+000dB,-6.29060110189065e+001°)
1.02086897233477e+003	(-6.33175395022030e+000dB,-6.33110502156174e+001°)
1.03269007790527e+003	(-6.43487557227373e+000dB,-6.37162696814231e+001°)
1.04464806542702e+003	(-6.53944326687617e+000dB,-6.41216727802012e+001°)
1.05674451991833e+003	(-6.64548241358408e+000dB,-6.45272649174354e+001°)
1.06898104475112e+003	(-6.75301945867079e+000dB,-6.49330536264397e+001°)
1.08135926186352e+003	(-6.86208197494785e+000dB,-6.53390486595459e+001°)
1.09388081197478e+003	(-6.97269872509716e+000dB,-6.57452620847840e+001°)
1.10654735480282e+003	(-7.08489972877446e+000dB,-6.61517083886375e+001°)
1.11936056928418e+003	(-7.19871633376939e+000dB,-6.65584045855200e+001°)
1.13232215379654e+003	(-7.31418129153340e+000dB,-6.69653703346863e+001°)
1.14543382638389e+003	(-7.43132883741646e+000dB,-6.73726280653686e+001°)
1.15869732498425e+003	(-7.55019477598552e+000dB,-6.77802031110144e+001°)
1.17211440765997e+003	(-7.67081657183393e+000dB,-6.81881238535984e+001°)
1.18568685283083e+003	(-7.79323344633048e+000dB,-6.85964218790877e+001°)
1.19941645950975e+003	(-7.91748648080110e+000dB,-6.90051321452647e+001°)
1.21330504754121e+003	(-8.04361872668528e+000dB,-6.94142931632431e+001°)
1.22735445784252e+003	(-8.17167532326384e+000dB,-6.98239471941742e+001°)
1.24156655264779e+003	(-8.30170362361565e+000dB,-7.02341404628077e+001°)
1.25594321575480e+003	(-8.43375332952914e+000dB,-7.06449233897776e+001°)
1.27048635277466e+003	(-8.56787663616996e+000dB,-7.10563508447022e+001°)
1.28519789138444e+003	(-8.70412838739208e+000dB,-7.14684824224481e+001°)
1.30007978158264e+003	(-8.84256624267438e+000dB,-7.18813827451985e+001°)
1.31513399594770e+003	(-8.98325085677279e+000dB,-7.22951217933003e+001°)
1.33036252989941e+003	(-9.12624607329850e+000dB,-7.27097752682477e+001°)
1.34576740196347e+003	(-9.27161913356904e+000dB,-7.31254249915989e+001°)
1.36135065403897e+003	(-9.41944090223299e+000dB,-7.35421593441267e+001°)
1.37711435166909e+003	(-9.56978611134301e+000dB,-7.39600737500869e+001°)
1.39306058431489e+003	(-9.72273362474932e+000dB,-7.43792712121601e+001°)
1.40919146563224e+003	(-9.87836672490992e+000dB,-7.47998629034025e+001°)
1.42550913375196e+003	(-1.00367734244687e+001dB,-7.52219688234417e+001°)
1.44201575156331e+003	(-1.01980468052441e+001dB,-7.56457185272120e+001°)
1.45871350700059e+003	(-1.03622853876018e+001dB,-7.60712519357435e+001°)
1.47560461333320e+003	(-1.05295935335692e+001dB,-7.64987202399630e+001°)
1.49269130945899e+003	(-1.07000818874809e+001dB,-7.69282869101435e+001°)
1.50997586020102e+003	(-1.08738678584531e+001dB,-7.73601288256248e+001°)
1.52746055660777e+003	(-1.10510761495605e+001dB,-7.77944375417672e+001°)
1.54514771625681e+003	(-1.12318393392614e+001dB,-7.82314207138647e+001°)
1.56303968356199e+003	(-1.14162985213924e+001dB,-7.86713037010374e+001°)
1.58113883008420e+003	(-1.16046040109570e+001dB,-7.91143313770334e+001°)
1.59944755484571e+003	(-1.17969161239856e+001dB,-7.95607701795543e+001°)
1.61796828464815e+003	(-1.19934060409669e+001dB,-8.00109104353330e+001°)
1.63670347439420e+003	(-1.21942567647976e+001dB,-8.04650690049524e+001°)
1.65565560741297e+003	(-1.23996641858796e+001dB,-8.09235922995655e+001°)
1.67482719578915e+003	(-1.26098382689917e+001dB,-8.13868597315923e+001°)
1.69422078069603e+003	(-1.28250043789130e+001dB,-8.18552876735501e+001°)
1.71383893273226e+003	(-1.30454047645711e+001dB,-8.23293340139602e+001°)
1.73368425226267e+003	(-1.32713002248047e+001dB,-8.28095034174509e+001°)
1.75375936976285e+003	(-1.35029719827995e+001dB,-8.32963534186273e+001°)
1.77406694616789e+003	(-1.37407238010004e+001dB,-8.37905015071476e+001°)
1.79460967322504e+003	(-1.39848843740129e+001dB,-8.42926333962168e+001°)
1.81539027385052e+003	(-1.42358100438876e+001dB,-8.48035127103308e+001°)
1.83641150249044e+003	(-1.44938878905179e+001dB,-8.53239923831324e+001°)
1.85767614548588e+003	(-1.47595392600010e+001dB,-8.58550281260880e+001°)
1.87918702144224e+003	(-1.50332238061652e+001dB,-8.63976944178824e+001°)
1.90094698160282e+003	(-1.53154441355697e+001dB,-8.69532035790925e+001°)
1.92295891022678e+003	(-1.56067511648502e+001dB,-8.75229286451055e+001°)
1.94522572497142e+003	(-1.59077503221513e+001dB,-8.81084309437516e+001°)
1.96775037727890e+003	(-1.62191087526715e+001dB,-8.87114935383466e+001°)
1.99053585276750e+003	(-1.65415637234035e+001dB,-8.93341620335611e+001°)
2.01358517162731e+003	(-1.68759324657195e+001dB,-8.99787946913307e+001°)
2.03690138902058e+003	(-1.72231237486422e+001dB,-9.06481244103026e+001°)
2.06048759548667e+003	(-1.75841515430699e+001dB,-9.13453359473162e+001°)
2.08434691735170e+003	(-1.79601512209179e+001dB,-9.20741628934041e+001°)
2.10848251714293e+003	(-1.83523988365110e+001dB,-9.28390104921062e+001°)
2.13289759400798e+003	(-1.87623341638980e+001dB,-9.36451126009899e+001°)
2.15759538413885e+003	(-1.91915883152864e+001dB,-9.44987342433551e+001°)
2.18257916120085e+003	(-1.96420169413109e+001dB,-9.54074357255662e+001°)
2.20785223676658e+003	(-2.01157402038334e+001dB,-9.63804208993297e+001°)
2.23341796075484e+003	(-2.06151908881660e+001dB,-9.74290019104961e+001°)
2.25927972187463e+003	(-2.11431721152571e+001dB,-9.85672274106585e+001°)
2.28544094807440e+003	(-2.17029259705967e+001dB,-9.98127434598842e+001°)
2.31190510699632e+003	(-2.22982136476939e+001dB,-1.01187990656314e+002°)
2.33867570643601e+003	(-2.29334056824136e+001dB,-1.02721894603188e+002°)
2.36575629480743e+003	(-2.36135759621647e+001dB,-1.04452291345088e+002°)
2.39315046161321e+003	(-2.43445820258720e+001dB,-1.06429463384428e+002°)
2.42086183792052e+003	(-2.51330892508113e+001dB,-1.08721372877447e+002°)
2.44889409684225e+003	(-2.59864412597455e+001dB,-1.11421500571180e+002°)
2.47725095402398e+003	(-2.69121563051421e+001dB,-1.14660645707240e+002°)
2.50593616813639e+003	(-2.79165583526293e+001dB,-1.18624485503171e+002°)
2.53495354137355e+003	(-2.90014655489104e+001dB,-1.23578404008233e+002°)
2.56430691995685e+003	(-3.01566884694772e+001dB,-1.29897209658076e+002°)
2.59400019464483e+003	(-3.13443122478321e+001dB,-1.38080629526643e+002°)
2.62403730124889e+003	(-3.24708550242785e+001dB,-1.48684718854466e+002°)
2.65442222115497e+003	(-3.33576473115436e+001dB,-1.62010920125877e+002°)
2.68515898185129e+003	(-3.37665953713538e+001dB,-1.77474363106058e+002°)
2.71625165746219e+003	(-3.35488898283263e+001dB,1.66716943099420e+002°)
2.74770436928815e+003	(-3.27872025068355e+001dB,1.52593607969672e+002°)
2.77952128635205e+003	(-3.17126309686477e+001dB,1.41136530742466e+002°)
2.81170662595178e+003	(-3.05305892371896e+001dB,1.32247466106457e+002°)
