Freq.	V(vout)
Step Information: Run=1  (Run: 1/15)
5.00000000000000e+002	(-2.00598123447014e+000dB,-3.85236868643421e+001°)
5.03852407068052e+002	(-2.03252310379860e+000dB,-3.87600282639297e+001°)
5.07734496216540e+002	(-2.05936810360102e+000dB,-3.89971656361693e+001°)
5.11646496140377e+002	(-2.08651871398458e+000dB,-3.92350919191807e+001°)
5.15588637296528e+002	(-2.11397742034766e+000dB,-3.94737999402463e+001°)
5.19561151917585e+002	(-2.14174671336508e+000dB,-3.97132824177978e+001°)
5.23564274025450e+002	(-2.16982908898672e+000dB,-3.99535319634942e+001°)
5.27598239445121e+002	(-2.19822704845022e+000dB,-4.01945410843877e+001°)
5.31663285818581e+002	(-2.22694309830826e+000dB,-4.04363021851811e+001°)
5.35759652618804e+002	(-2.25597975047117e+000dB,-4.06788075705740e+001°)
5.39887581163855e+002	(-2.28533952226546e+000dB,-4.09220494476997e+001°)
5.44047314631114e+002	(-2.31502493650901e+000dB,-4.11660199286520e+001°)
5.48239098071593e+002	(-2.34503852160354e+000dB,-4.14107110331014e+001°)
5.52463178424380e+002	(-2.37538281164506e+000dB,-4.16561146910015e+001°)
5.56719804531181e+002	(-2.40606034655300e+000dB,-4.19022227453842e+001°)
5.61009227150983e+002	(-2.43707367221880e+000dB,-4.21490269552449e+001°)
5.65331698974820e+002	(-2.46842534067451e+000dB,-4.23965189985154e+001°)
5.69687474640669e+002	(-2.50011791028232e+000dB,-4.26446904751260e+001°)
5.74076810748442e+002	(-2.53215394594560e+000dB,-4.28935329101549e+001°)
5.78499965875106e+002	(-2.56453601934235e+000dB,-4.31430377570650e+001°)
5.82957200589917e+002	(-2.59726670918164e+000dB,-4.33931964010277e+001°)
5.87448777469766e+002	(-2.63034860148398e+000dB,-4.36440001623318e+001°)
5.91974961114652e+002	(-2.66378428988625e+000dB,-4.38954402998789e+001°)
5.96536018163268e+002	(-2.69757637597213e+000dB,-4.41475080147624e+001°)
6.01132217308708e+002	(-2.73172746962864e+000dB,-4.44001944539308e+001°)
6.05763829314295e+002	(-2.76624018942983e+000dB,-4.46534907139329e+001°)
6.10431127029537e+002	(-2.80111716304818e+000dB,-4.49073878447464e+001°)
6.15134385406192e+002	(-2.83636102769479e+000dB,-4.51618768536861e+001°)
6.19873881514473e+002	(-2.87197443058897e+000dB,-4.54169487093926e+001°)
6.24649894559368e+002	(-2.90796002945833e+000dB,-4.56725943459003e+001°)
6.29462705897085e+002	(-2.94432049306996e+000dB,-4.59288046667827e+001°)
6.34312599051631e+002	(-2.98105850179382e+000dB,-4.61855705493747e+001°)
6.39199859731513e+002	(-3.01817674819910e+000dB,-4.64428828490706e+001°)
6.44124775846568e+002	(-3.05567793768447e+000dB,-4.67007324036971e+001°)
6.49087637524926e+002	(-3.09356478914318e+000dB,-4.69591100379588e+001°)
