frequency;MAG;PHA
500;-2.60064352;-39.86189801
501.8478459;-2.597980887;-39.97236185
503.7025208;-2.614053904;-40.07352781
505.5640501;-2.62953495;-40.18639297
507.4324589;-2.646510186;-40.29227713
509.3077729;-2.660278962;-40.41154972
511.1900174;-2.676687069;-40.51055322
513.0792182;-2.691279457;-40.62991424
514.9754008;-2.7079452;-40.73082754
516.8785911;-2.723093591;-40.84005182
518.7888151;-2.738760639;-40.94544152
520.7060986;-2.753543397;-41.05546815
522.6304678;-2.77115868;-41.16618363
524.5619489;-2.78634235;-41.27638988
526.5005682;-2.801515779;-41.37892437
528.446352;-2.81848949;-41.4976708
530.3993268;-2.83343628;-41.60086415
532.3595192;-2.849923421;-41.70772373
534.3269559;-2.866504889;-41.82109516
536.3016636;-2.883643772;-41.91987737
538.2836693;-2.900212189;-42.03371294
540.2729998;-2.916555842;-42.15910171
542.2696822;-2.933383145;-42.25863431
544.2737438;-2.950511752;-42.36898074
546.2852118;-2.967941757;-42.4778476
548.3041136;-2.983953055;-42.59202959
550.3304765;-3.000653372;-42.69639522
552.3643283;-3.018055718;-42.81886642
554.4056966;-3.035178723;-42.92184614
556.4546092;-3.053041727;-43.04064297
558.5110939;-3.068902294;-43.14093043
560.5751787;-3.088754349;-43.25637822
562.6468918;-3.106882464;-43.36715511
564.7262613;-3.124778016;-43.4751838
566.8133154;-3.141842686;-43.59344503
568.9080827;-3.161811323;-43.69870317
571.0105916;-3.178789115;-43.81474713
573.1208708;-3.195834352;-43.91501707
575.2389488;-3.214169835;-44.03525795
577.3648547;-3.231876156;-44.14944444
579.4986172;-3.25269195;-44.26160137
581.6402655;-3.269716081;-44.37021319
583.7898286;-3.288081499;-44.48624742
585.9473358;-3.306788326;-44.60354576
588.1128166;-3.326030416;-44.69945044
590.2863002;-3.345005219;-44.81534873
592.4678165;-3.36482746;-44.93392658
594.6573949;-3.383091564;-45.04418183
596.8550653;-3.402507736;-45.15768675
599.0608576;-3.421954403;-45.2686879
601.2748019;-3.440224405;-45.37848544
603.4969282;-3.460641872;-45.49338946
605.7272668;-3.479276348;-45.60892083
607.9658481;-3.500010446;-45.71698089
610.2127025;-3.519310305;-45.83073141
612.4678605;-3.538842655;-45.9434992
614.7313529;-3.558497391;-46.06116694
617.0032105;-3.578717991;-46.17138901
619.2834642;-3.5998922;-46.28112271
621.572145;-3.618785436;-46.40225588
623.869284;-3.63875835;-46.50687659
626.1749126;-3.660026619;-46.61350827
628.489062;-3.679479617;-46.7378644
630.8117639;-3.700424905;-46.84674373
633.1430497;-3.72202331;-46.96491221
635.4829512;-3.741328032;-47.06524296
637.8315003;-3.761641969;-47.18286041
640.1887289;-3.779058548;-47.29721995
642.5546691;-3.80224016;-47.40956284
644.9293531;-3.823175061;-47.52299784
647.3128132;-3.845420596;-47.64345974
649.7050818;-3.865307842;-47.75739231
652.1061915;-3.887500072;-47.85944816
654.516175;-3.908479496;-47.97980071
656.935065;-3.930005397;-48.08880074
659.3628945;-3.952489144;-48.2052289
661.7996965;-3.973627292;-48.31045309
664.2455042;-3.996363741;-48.42777781
666.7003508;-4.017954947;-48.53948293
669.1642698;-4.040431344;-48.65511171
671.6372947;-4.061459431;-48.76636384
674.1194591;-4.084051106;-48.87697218
676.6107968;-4.107130928;-48.99113919
679.1113417;-4.129667554;-49.10980999
681.6211279;-4.122846529;-49.22204913
684.1401895;-4.175019145;-49.33492731
686.6685607;-4.166212574;-49.4498564
689.2062761;-4.191122014;-49.55533812
691.75337;-4.213892283;-49.66873282
694.3098772;-4.236911924;-49.77815342
696.8758325;-4.259021974;-49.89211305
699.4512708;-4.282938879;-50.01671306
702.0362271;-4.304719829;-50.12122478
704.6307366;-4.329413894;-50.24117738
707.2348345;-4.353215787;-50.34559967
709.8485565;-4.374900863;-50.45923215
712.4719379;-4.399845618;-50.57312835
715.1050146;-4.423369467;-50.68810687
717.7478223;-4.447235463;-50.7985995
