"frequency
";MAG;PHA
1000;5309.437249;10.031
5000;5671.968457;11.418
10000;4995.390705;10.278
15000;4522.379249;11.636
20000;5306.187409;11.381
25000;6207.682016;11.958
30000;5528.545185;10.988
35000;5767.588995;12.543
40000;6021.381063;12.596
45000;4885.127505;13.684
47500;4695.205479;14.064
50000;5879.979739;13.095
52500;5312.71428;13.663
55000;5819.988099;13.433
57500;4842.899714;12.973
60000;5767.588995;13.089
65000;6989.660219;12.111
70000;6095.409172;11.751
75000;5756.557001;9.7536
80000;6373.733489;12.063
85000;6950.97664;10.902
90000;5306.187409;12.974
95000;6591.839853;10.92
100000;6288.349811;9.8852
105000;5796.767829;9.7933
110000;5951.956008;9.5641
115000;6076.489646;10.064
120000;9138.577969;9.8545
135000;6086.040564;9.4377
150000;7025.241108;8.7277
175000;8134.568604;8.6286
200000;6002.409069;7.7215
250000;7346.605399;7.4508
300000;8028.858441;7.6322
400000;7245.053423;9.4663
500000;6456.8292;11.437
600000;8029.119237;11.232
700000;7745.685053;12.902
800000;9692.727782;15.073
900000;7745.685053;16.62
1000000;7147.313424;17.938
1100000;8584.298139;19.202
1200000;8028.96843;21.793
1300000;5575.99;22.325
