frequency;MAG;PHA
1000;74.50096985;10.031
5000;75.07467614;11.418
10000;73.97138923;10.278
15000;73.10733959;11.636
20000;74.49565169;11.381
25000;75.85858925;11.958
30000;74.85221727;10.988
35000;75.21988609;12.543
40000;75.59392225;12.596
45000;73.77751807;13.684
47500;73.43309207;14.064
50000;75.38751659;13.095
52500;74.5063292;13.663
55000;75.29844193;13.433
57500;73.70210952;12.973
60000;75.21988609;13.089
65000;76.88912129;12.111
70000;75.70005728;11.751
75000;75.20325619;9.7536
80000;76.087878;12.063
85000;76.84091658;10.902
90000;74.49565169;12.974
95000;76.38013296;10.92
100000;75.97073386;9.8852
105000;75.26371813;9.7933
110000;75.49319425;9.5641
115000;75.67305525;10.064
120000;79.21757243;9.8545
135000;75.68669685;9.4377
150000;76.93322468;8.7277
175000;78.20669052;8.6286
200000;75.56651179;7.7215
250000;77.32173427;7.4508
300000;78.09307602;7.6322
400000;77.20083184;9.4663
500000;76.20038597;11.437
600000;78.09335815;11.232
700000;77.78119668;12.902
800000;79.72892032;15.073
900000;77.78119668;16.62
1000000;77.08285654;17.938
1100000;78.67409585;19.202
1200000;78.09319501;21.793
1300000;74.92643972;22.325
