v1	V(vout)
-9.000000000000000e+000	7.495880e+000
-8.900000000000000e+000	7.495873e+000
-8.800000000000001e+000	7.495866e+000
-8.700000000000001e+000	7.495859e+000
-8.600000000000001e+000	7.495852e+000
-8.500000000000002e+000	7.495845e+000
-8.400000000000002e+000	7.495838e+000
-8.300000000000003e+000	7.495831e+000
-8.200000000000003e+000	7.495824e+000
-8.100000000000003e+000	7.495818e+000
-8.000000000000004e+000	7.495811e+000
-7.900000000000004e+000	7.495804e+000
-7.800000000000004e+000	7.495797e+000
-7.700000000000005e+000	7.495790e+000
-7.600000000000005e+000	7.495783e+000
-7.500000000000005e+000	7.495776e+000
-7.400000000000006e+000	7.495769e+000
-7.300000000000006e+000	7.495762e+000
-7.200000000000006e+000	7.495755e+000
-7.100000000000007e+000	7.495748e+000
-7.000000000000007e+000	7.495741e+000
-6.900000000000008e+000	7.495734e+000
-6.800000000000008e+000	7.495728e+000
-6.700000000000008e+000	7.495720e+000
-6.600000000000009e+000	7.495714e+000
-6.500000000000009e+000	7.495707e+000
-6.400000000000009e+000	7.495699e+000
-6.300000000000010e+000	7.495693e+000
-6.200000000000010e+000	7.495686e+000
-6.100000000000010e+000	7.495679e+000
-6.000000000000011e+000	7.495672e+000
-5.900000000000011e+000	7.495665e+000
-5.800000000000011e+000	7.495658e+000
-5.700000000000012e+000	7.495651e+000
-5.600000000000012e+000	7.495644e+000
-5.500000000000012e+000	7.495637e+000
-5.400000000000013e+000	7.495630e+000
-5.300000000000013e+000	7.495623e+000
-5.200000000000014e+000	7.495616e+000
-5.100000000000014e+000	7.495609e+000
-5.000000000000014e+000	7.495602e+000
-4.900000000000015e+000	7.495595e+000
-4.800000000000015e+000	7.495588e+000
-4.700000000000015e+000	7.495581e+000
-4.600000000000016e+000	7.495574e+000
-4.500000000000016e+000	7.495567e+000
-4.400000000000016e+000	7.495560e+000
-4.300000000000017e+000	7.495553e+000
-4.200000000000017e+000	7.495546e+000
-4.100000000000017e+000	7.495539e+000
-4.000000000000018e+000	7.495532e+000
-3.900000000000018e+000	7.495525e+000
-3.800000000000018e+000	7.495518e+000
-3.700000000000018e+000	7.495511e+000
-3.600000000000017e+000	7.495504e+000
-3.500000000000017e+000	7.495497e+000
-3.400000000000017e+000	7.495490e+000
-3.300000000000017e+000	7.495483e+000
-3.200000000000017e+000	7.495476e+000
-3.100000000000017e+000	7.495469e+000
-3.000000000000017e+000	7.495462e+000
-2.900000000000017e+000	7.495455e+000
-2.800000000000017e+000	7.495448e+000
-2.700000000000017e+000	7.495441e+000
-2.600000000000017e+000	7.495434e+000
-2.500000000000016e+000	7.495427e+000
-2.400000000000016e+000	7.495420e+000
-2.300000000000016e+000	7.495413e+000
-2.200000000000016e+000	7.495406e+000
-2.100000000000016e+000	7.495399e+000
-2.000000000000016e+000	7.495392e+000
-1.900000000000016e+000	7.495385e+000
-1.800000000000016e+000	7.495378e+000
-1.700000000000016e+000	7.495371e+000
-1.600000000000016e+000	7.495364e+000
-1.500000000000016e+000	7.495357e+000
-1.400000000000016e+000	7.495349e+000
-1.300000000000015e+000	7.495337e+000
-1.200000000000015e+000	7.495297e+000
-1.100000000000015e+000	7.495092e+000
-1.000000000000015e+000	7.493920e+000
-9.000000000000151e-001	7.488056e+000
-8.000000000000151e-001	7.465188e+000
-7.000000000000152e-001	6.997262e+000
-6.000000000000152e-001	5.997473e+000
-5.000000000000152e-001	4.997686e+000
-4.000000000000152e-001	3.997900e+000
-3.000000000000153e-001	2.998114e+000
-2.000000000000153e-001	1.998327e+000
-1.000000000000152e-001	9.985413e-001
-1.523781101298027e-014	-1.244889e-003
9.999999999998477e-002	-1.001031e+000
1.999999999999848e-001	-2.000817e+000
2.999999999999848e-001	-3.000603e+000
3.999999999999848e-001	-4.000390e+000
4.999999999999848e-001	-5.000176e+000
5.999999999999848e-001	-5.999962e+000
6.999999999999848e-001	-6.999748e+000
7.999999999999847e-001	-7.999535e+000
8.999999999999847e-001	-8.917444e+000
9.999999999999847e-001	-8.980576e+000
1.099999999999985e+000	-8.992117e+000
1.199999999999985e+000	-8.994775e+000
1.299999999999985e+000	-8.995319e+000
1.399999999999985e+000	-8.995313e+000
1.499999999999985e+000	-8.995319e+000
1.599999999999985e+000	-8.995321e+000
1.699999999999985e+000	-8.995322e+000
1.799999999999985e+000	-8.995322e+000
1.899999999999986e+000	-8.995322e+000
1.999999999999986e+000	-8.995322e+000
2.099999999999985e+000	-8.995322e+000
2.199999999999986e+000	-8.995322e+000
2.299999999999986e+000	-8.995322e+000
2.399999999999986e+000	-8.995322e+000
2.499999999999986e+000	-8.995322e+000
2.599999999999986e+000	-8.995322e+000
2.699999999999986e+000	-8.995322e+000
2.799999999999986e+000	-8.995322e+000
2.899999999999986e+000	-8.995322e+000
2.999999999999986e+000	-8.995322e+000
3.099999999999986e+000	-8.995322e+000
3.199999999999986e+000	-8.995322e+000
3.299999999999987e+000	-8.995322e+000
3.399999999999987e+000	-8.995322e+000
3.499999999999987e+000	-8.995322e+000
3.599999999999987e+000	-8.995322e+000
3.699999999999987e+000	-8.995322e+000
3.799999999999987e+000	-8.995322e+000
3.899999999999987e+000	-8.995322e+000
3.999999999999987e+000	-8.995322e+000
4.099999999999987e+000	-8.995322e+000
4.199999999999987e+000	-8.995322e+000
4.299999999999987e+000	-8.995322e+000
4.399999999999986e+000	-8.995322e+000
4.499999999999986e+000	-8.995322e+000
4.599999999999985e+000	-8.995322e+000
4.699999999999985e+000	-8.995322e+000
4.799999999999985e+000	-8.995322e+000
4.899999999999984e+000	-8.995322e+000
4.999999999999984e+000	-8.995322e+000
5.099999999999984e+000	-8.995322e+000
5.199999999999983e+000	-8.995322e+000
5.299999999999983e+000	-8.995322e+000
5.399999999999983e+000	-8.995322e+000
5.499999999999982e+000	-8.995322e+000
5.599999999999982e+000	-8.995322e+000
5.699999999999982e+000	-8.995322e+000
5.799999999999981e+000	-8.995322e+000
5.899999999999981e+000	-8.995322e+000
5.999999999999981e+000	-8.995322e+000
6.099999999999980e+000	-8.995322e+000
6.199999999999980e+000	-8.995322e+000
6.299999999999979e+000	-8.995322e+000
6.399999999999979e+000	-8.995322e+000
6.499999999999979e+000	-8.995322e+000
6.599999999999978e+000	-8.995322e+000
6.699999999999978e+000	-8.995322e+000
6.799999999999978e+000	-8.995322e+000
6.899999999999977e+000	-8.995322e+000
6.999999999999977e+000	-8.995322e+000
7.099999999999977e+000	-8.995322e+000
7.199999999999976e+000	-8.995322e+000
7.299999999999976e+000	-8.995322e+000
7.399999999999976e+000	-8.995322e+000
7.499999999999975e+000	-8.995322e+000
7.599999999999975e+000	-8.995322e+000
7.699999999999974e+000	-8.995322e+000
7.799999999999974e+000	-8.995322e+000
7.899999999999974e+000	-8.995322e+000
7.999999999999973e+000	-8.995322e+000
8.099999999999973e+000	-8.995322e+000
8.199999999999973e+000	-8.995322e+000
8.299999999999972e+000	-8.995322e+000
8.399999999999972e+000	-8.995322e+000
8.499999999999972e+000	-8.995322e+000
8.599999999999971e+000	-8.995322e+000
8.699999999999971e+000	-8.995322e+000
8.799999999999971e+000	-8.995322e+000
8.899999999999970e+000	-8.995322e+000
9.000000000000000e+000	-8.995322e+000
