-9;-8;-7;-6;-5;-4;-3;-2.5;-2;-1.75;-1.5;-1.25;-1;-0.75;-0.5;-0.25;0;0.25;0.5;0.75;1;1.25;1.5;1.75;2;2.5;3;4;5;6;7;8;9
9.033;8.0116;7.0101;6.0087;5.0072;4.0058;2.9843;2.4836;1.9829;1.7225;1.4821;1.2218;0.98142;0.72104;480.69;244.04;2.1693;244.04;494.59;0.74835;0.99606;1.2464;1.4942;1.7497;1.9997;2.4961;3.0193;4.0112;5.0141;6.0169;7.0197;8.0225;9.0362
7.897;7.8574;7.0262;6.0168;4.9876;3.998;2.9886;2.4938;1.9792;1.7417;1.4844;1.2271;0.9896;0.71251;475.01;242.96;4.3193;241.88;491.32;0.74244;0.99165;1.2461;1.4989;1.747;2.0003;2.4885;3.0044;4.0059;5.0074;6.019;7.0204;7.8499;7.9106
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9;-9.033;7.897;-9.033;7.897;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-8;-8.0116;7.8574;-9.033,-8.0116;7.897,7.8574;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-7;-7.0101;7.0262;-9.033,-8.0116,-7.0101;7.897,7.8574,7.0262;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-6;-6.0087;6.0168;-9.033,-8.0116,-7.0101,-6.0087;7.897,7.8574,7.0262,6.0168;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-5;-5.0072;4.9876;-9.033,-8.0116,-7.0101,-6.0087,-5.0072;7.897,7.8574,7.0262,6.0168,4.9876;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-4;-4.0058;3.998;-9.033,-8.0116,-7.0101,-6.0087,-5.0072,-4.0058;7.897,7.8574,7.0262,6.0168,4.9876,3.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-3;-2.9843;2.9886;-9.033,-8.0116,-7.0101,-6.0087,-5.0072,-4.0058,-2.9843;7.897,7.8574,7.0262,6.0168,4.9876,3.998,2.9886;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2.5;-2.4836;2.4938;-9.033,-8.0116,-7.0101,-6.0087,-5.0072,-4.0058,-2.9843,-2.4836;7.897,7.8574,7.0262,6.0168,4.9876,3.998,2.9886,2.4938;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2;-1.9829;1.9792;-9.033,-8.0116,-7.0101,-6.0087,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829;7.897,7.8574,7.0262,6.0168,4.9876,3.998,2.9886,2.4938,1.9792;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1.75;-1.7225;1.7417;-9.033,-8.0116,-7.0101,-6.0087,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7225;7.897,7.8574,7.0262,6.0168,4.9876,3.998,2.9886,2.4938,1.9792,1.7417;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1.5;-1.4821;1.4844;-9.033,-8.0116,-7.0101,-6.0087,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7225,-1.4821;7.897,7.8574,7.0262,6.0168,4.9876,3.998,2.9886,2.4938,1.9792,1.7417,1.4844;;;;;;;;;;;;;;;;;;;;;;;;;;;;
