frequency;MAG;PHA
1000;-0.346990052;168.66
10000;0.228786575;165.45
50000;0.063673563;163.32
75000;-0.40372285;160.99
100000;0.230494676;158.9
125000;-0.445259837;153.89
150000;-0.368384538;152.23
175000;-0.29776928;149.17
200000;0.01177134;143.53
250000;-0.194943745;134.77
300000;-0.090715811;125.52
350000;-0.541348337;115.69
375000;-0.609134567;112.34
400000;-1.020624808;107.06
425000;-0.669495638;103.08
450000;-2.123549108;97.937
475000;-2.213914773;100.22
500000;-2.138067012;94.605
510000;-2.837106258;92.597
525000;-1.976705037;85.261
550000;-2.245224533;84.634
575000;-3.268593501;80.225
600000;-3.017330085;74.664
625000;-4.002941796;74.145
650000;-4.059785024;71.91
700000;-4.369574867;65.488
750000;-5.018459656;60.698
800000;-7.313661395;56.639
900000;-7.451835224;49.145
1000000;-8.421042421;43.108
1050000;-8.894117738;42.023
1100000;-9.427140496;36.899
1200000;-11.53333364;36.213
1400000;-12.57918445;30.077
1700000;-15.37608268;30.558
