Freq.	V(vout)
1.00000000000000e+003	(-2.99999653032803e-004dB,1.79823723761862e+002°)
1.02329299228075e+003	(-3.01215513141693e-004dB,1.79819617772825e+002°)
1.04712854805090e+003	(-3.02488674651925e-004dB,1.79815416143876e+002°)
1.07151930523761e+003	(-3.03821838089360e-004dB,1.79811116647337e+002°)
1.09647819614319e+003	(-3.05217831207058e-004dB,1.79806717003645e+002°)
1.12201845430196e+003	(-3.06679615048520e-004dB,1.79802214880144e+002°)
1.14815362149688e+003	(-3.08210290199004e-004dB,1.79797607889847e+002°)
1.17489755493953e+003	(-3.09813103354155e-004dB,1.79792893590176e+002°)
1.20226443461741e+003	(-3.11491454231014e-004dB,1.79788069481659e+002°)
1.23026877081238e+003	(-3.13248902768375e-004dB,1.79783133006614e+002°)
1.25892541179417e+003	(-3.15089176648325e-004dB,1.79778081547787e+002°)
1.28824955169313e+003	(-3.17016179267214e-004dB,1.79772912426969e+002°)
1.31825673855641e+003	(-3.19033997943918e-004dB,1.79767622903574e+002°)
1.34896288259165e+003	(-3.21146912634443e-004dB,1.79762210173189e+002°)
1.38038426460288e+003	(-3.23359405009202e-004dB,1.79756671366086e+002°)
1.41253754462275e+003	(-3.25676167906447e-004dB,1.79751003545701e+002°)
1.44543977074593e+003	(-3.28102115359585e-004dB,1.79745203707080e+002°)
1.47910838816821e+003	(-3.30642392960173e-004dB,1.79739268775285e+002°)
1.51356124843621e+003	(-3.33302388823721e-004dB,1.79733195603766e+002°)
1.54881661891248e+003	(-3.36087744946177e-004dB,1.79726980972689e+002°)
1.58489319246111e+003	(-3.39004369248096e-004dB,1.79720621587239e+002°)
1.62181009735893e+003	(-3.42058448043262e-004dB,1.79714114075866e+002°)
1.65958690743756e+003	(-3.45256459197919e-004dB,1.79707454988502e+002°)
1.69824365246174e+003	(-3.48605185841762e-004dB,1.79700640794733e+002°)
1.73780082874937e+003	(-3.52111730779216e-004dB,1.79693667881930e+002°)
1.77827941003892e+003	(-3.55783531520977e-004dB,1.79686532553331e+002°)
1.81970085860998e+003	(-3.59628376092049e-004dB,1.79679231026089e+002°)
1.86208713666287e+003	(-3.63654419520840e-004dB,1.79671759429262e+002°)
1.90546071796325e+003	(-3.67870201162658e-004dB,1.79664113801766e+002°)
1.94984459975804e+003	(-3.72284662765049e-004dB,1.79656290090277e+002°)
1.99526231496888e+003	(-3.76907167474643e-004dB,1.79648284147082e+002°)
2.04173794466953e+003	(-3.81747519663041e-004dB,1.79640091727884e+002°)
2.08929613085404e+003	(-3.86815985753074e-004dB,1.79631708489556e+002°)
2.13796208950223e+003	(-3.92123315927838e-004dB,1.79623129987837e+002°)
2.18776162394955e+003	(-3.97680766997344e-004dB,1.79614351674980e+002°)
2.23872113856834e+003	(-4.03500126243496e-004dB,1.79605368897349e+002°)
2.29086765276777e+003	(-4.09593736377442e-004dB,1.79596176892946e+002°)
2.34422881531992e+003	(-4.15974521777181e-004dB,1.79586770788898e+002°)
2.39883291901949e+003	(-4.22656015840546e-004dB,1.79577145598874e+002°)
2.45470891568503e+003	(-4.29652389723658e-004dB,1.79567296220443e+002°)
2.51188643150958e+003	(-4.36978482350138e-004dB,1.79557217432378e+002°)
2.57039578276886e+003	(-4.44649831906218e-004dB,1.79546903891893e+002°)
2.63026799189538e+003	(-4.52682708763939e-004dB,1.79536350131808e+002°)
2.69153480392691e+003	(-4.61094149999373e-004dB,1.79525550557665e+002°)
2.75422870333816e+003	(-4.69901995511741e-004dB,1.79514499444763e+002°)
2.81838293126445e+003	(-4.79124925829340e-004dB,1.79503190935130e+002°)
2.88403150312660e+003	(-4.88782501739343e-004dB,1.79491619034423e+002°)
2.95120922666638e+003	(-4.98895205757012e-004dB,1.79479777608761e+002°)
3.01995172040201e+003	(-5.09484485517387e-004dB,1.79467660381477e+002°)
3.09029543251359e+003	(-5.20572799295975e-004dB,1.79455260929800e+002°)
