Freq.	V(vin)/-I(R1)
1.00000000000000e+004	(6.86291391903708e+001dB,5.87223364878568e-001°)
1.02329299228075e+004	(6.86292226962268e+001dB,6.00890953100778e-001°)
1.04712854805090e+004	(6.86293101346183e+001dB,6.14876142559831e-001°)
1.07151930523761e+004	(6.86294016905934e+001dB,6.29186276990062e-001°)
1.09647819614318e+004	(6.86294975578933e+001dB,6.43828867316505e-001°)
1.12201845430196e+004	(6.86295979393598e+001dB,6.58811595273399e-001°)
1.14815362149688e+004	(6.86297030473611e+001dB,6.74142317087381e-001°)
1.17489755493953e+004	(6.86298131042376e+001dB,6.89829067225394e-001°)
1.20226443461741e+004	(6.86299283427684e+001dB,7.05880062207408e-001°)
1.23026877081238e+004	(6.86300490066591e+001dB,7.22303704483781e-001°)
1.25892541179417e+004	(6.86301753510531e+001dB,7.39108586377138e-001°)
1.28824955169313e+004	(6.86303076430657e+001dB,7.56303494088360e-001°)
1.31825673855641e+004	(6.86304461623431e+001dB,7.73897411766308e-001°)
1.34896288259165e+004	(6.86305912016477e+001dB,7.91899525640555e-001°)
1.38038426460288e+004	(6.86307430674701e+001dB,8.10319228216461e-001°)
1.41253754462275e+004	(6.86309020806692e+001dB,8.29166122531564e-001°)
1.44543977074593e+004	(6.86310685771425e+001dB,8.48450026472163e-001°)
1.47910838816821e+004	(6.86312429085262e+001dB,8.68180977148771e-001°)
1.51356124843621e+004	(6.86314254429287e+001dB,8.88369235328815e-001°)
1.54881661891248e+004	(6.86316165656972e+001dB,9.09025289924810e-001°)
1.58489319246111e+004	(6.86318166802191e+001dB,9.30159862535898e-001°)
1.62181009735893e+004	(6.86320262087614e+001dB,9.51783912040396e-001°)
1.65958690743756e+004	(6.86322455933472e+001dB,9.73908639236703e-001°)
1.69824365246174e+004	(6.86324752966730e+001dB,9.96545491529517e-001°)
1.73780082874937e+004	(6.86327158030679e+001dB,1.01970616765807e+000°)
1.77827941003892e+004	(6.86329676194965e+001dB,1.04340262246258e+000°)
1.81970085860998e+004	(6.86332312766070e+001dB,1.06764707168475e+000°)
1.86208713666287e+004	(6.86335073298280e+001dB,1.09245199679783e+000°)
1.90546071796325e+004	(6.86337963605134e+001dB,1.11783014986095e+000°)
1.94984459975804e+004	(6.86340989771412e+001dB,1.14379455839237e+000°)
1.99526231496888e+004	(6.86344158165646e+001dB,1.17035853025522e+000°)
2.04173794466953e+004	(6.86347475453209e+001dB,1.19753565854922e+000°)
2.08929613085404e+004	(6.86350948609987e+001dB,1.22533982650080e+000°)
2.13796208950223e+004	(6.86354584936663e+001dB,1.25378521234365e+000°)
2.18776162394955e+004	(6.86358392073646e+001dB,1.28288629418080e+000°)
2.23872113856834e+004	(6.86362378016667e+001dB,1.31265785481865e+000°)
2.29086765276777e+004	(6.86366551133065e+001dB,1.34311498656243e+000°)
2.34422881531992e+004	(6.86370920178800e+001dB,1.37427309596185e+000°)
2.39883291901949e+004	(6.86375494316224e+001dB,1.40614790849436e+000°)
2.45470891568503e+004	(6.86380283132630e+001dB,1.43875547317279e+000°)
2.51188643150958e+004	(6.86385296659622e+001dB,1.47211216706285e+000°)
2.57039578276886e+004	(6.86390545393334e+001dB,1.50623469969464e+000°)
2.63026799189538e+004	(6.86396040315538e+001dB,1.54114011735135e+000°)
2.69153480392691e+004	(6.86401792915659e+001dB,1.57684580721668e+000°)
2.75422870333816e+004	(6.86407815213762e+001dB,1.61336950136117e+000°)
2.81838293126445e+004	(6.86414119784517e+001dB,1.65072928054614e+000°)
2.88403150312660e+004	(6.86420719782209e+001dB,1.68894357782216e+000°)
2.95120922666638e+004	(6.86427628966805e+001dB,1.72803118189717e+000°)
3.01995172040201e+004	(6.86434861731139e+001dB,1.76801124024780e+000°)
3.09029543251359e+004	(6.86442433129254e+001dB,1.80890326194480e+000°)
3.16227766016837e+004	(6.86450358905924e+001dB,1.85072712016216e+000°)
3.23593656929628e+004	(6.86458655527426e+001dB,1.89350305433641e+000°)
3.31131121482591e+004	(6.86467340213592e+001dB,1.93725167194087e+000°)
3.38844156139202e+004	(6.86476430971174e+001dB,1.98199394983646e+000°)
