-9;-9.0362;0.8902;-9.0362;0.8902
-8;-8.0334;0.78904;-9.0362,-8.0334;0.8902,0.78904
-7;-7.0306;0.68788;-9.0362,-8.0334,-7.0306;0.8902,0.78904,0.68788
-6;-6.0169;0.58672;-9.0362,-8.0334,-7.0306,-6.0169;0.8902,0.78904,0.68788,0.58672
-5;-5.025;0.49568;-9.0362,-8.0334,-7.0306,-6.0169,-5.025;0.8902,0.78904,0.68788,0.58672,0.49568
-4;-4.0112;0.3844;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844
-3;-3.0084;0.28324;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324
-2.5;-2.4961;0.24278;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278
-2;-1.9947;0.1922;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922
-1.75;-1.744;0.16185;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185
-1.5;-1.4824;0.14162;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162
-1.25;-1.2426;0.11127;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127
-1;-0.99191;0.080927;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927
-0.75;-0.74121;0.060695;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695
-0.5;-0.47961;0.040464;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464
