frequency;MAG;PHA
100000;-21.14783581;161.32
150000;-20.8621361;160.17
200000;-23.17112694;158.64
250000;-20.03426461;155.58
300000;-19.79282497;155.02
350000;-19.83501923;151.94
400000;-20.97142126;148.08
450000;-20.04056989;143.58
500000;-18.6978484;146.42
550000;-18.62094924;135.38
600000;-18.11580507;128.84
650000;-20.98911133;122.75
700000;-19.60351445;113.17
750000;-16.6658041;101.54
800000;-16.96263442;91.015
850000;-17.00925268;83.018
900000;-17.54179516;73.162
950000;-17.71000456;68.239
1000000;-17.59908292;56.821
1100000;-21.61110121;51.865
1200000;-18.95442737;42.771
1300000;-20.36597646;33.669
1500000;-21.71202071;25.92
1800000;-23.42120202;22.487
2000000;-26.12949442;30.429
2500000;-26.71681201;40.954
3000000;-34.62956175;51.775
4000000;-35.60752542;55.578
5000000;-33.8095984;55.985
6000000;-40.41619148;56.875
7000000;-38.49128116;58.997
8000000;-36.22513467;64.384
9000000;-38.04227494;68.367
10000000;-33.5162331;69.566
