frequency	MAG	PHA
10000	86.97292039	2.2547
50000	86.97292039	3.8517
100000	86.95022236	6.7953
150000	86.9271572	9.6665
200000	86.72065895	12.756
300000	86.3794028	18.437
400000	86.14357888	23.728
500000	85.71173535	28.946
600000	85.29812969	33.47
700000	84.86641071	37.386
800000	87.95224528	40.802
900000	84.1902	43.857
1000000	83.93403435	46.565
1100000	83.61873513	48.891
1500000	82.73048599	55.532
2000000	82.11053774	60.283
3000000	81.5356527	63.495
4000000	81.14055157	63.637
5000000	80.90696845	62.276
6000000	80.74388251	60.673
7000000	80.68537156	57.833
8000000	80.36728689	58.349
