-9;-9.0531;-7.996;-9.0531;-7.996
-8;-8.0516;-7.996;-9.0531,-8.0516;-7.996,-7.996
-7;-7.0301;-7.996;-9.0531,-8.0516,-7.0301;-7.996,-7.996,-7.996
-6;-6.0287;-8.0157;-9.0531,-8.0516,-7.0301,-6.0287;-7.996,-7.996,-7.996,-8.0157
-5;-5.0072;-7.8178;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072;-7.996,-7.996,-7.996,-8.0157,-7.8178
-4;-4.0058;-6.3334;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334
-3;-2.9843;-4.7303;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303
-2.5;-2.4836;-3.9386;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386
-2;-1.9829;-3.1469;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469
-1.75;-1.7425;-2.7511;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511
-1.5;-1.4821;-2.3552;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425,-1.4821;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511,-2.3552
-1.25;-1.2498;-1.9726;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425,-1.4821,-1.2498;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511,-2.3552,-1.9726
