frequency;MAG;PHA
50000;4.105943701;-11.137
75000;3.885033673;-11.504
100000;4.803493501;-13.973
150000;4.203276896;-17.56
200000;4.370867874;-22.937
250000;4.722199615;-29.756
300000;4.343055733;-37.537
350000;4.122024305;-47.149
400000;4.15153558;-59.28
450000;3.107311073;-72.479
500000;3.687707104;-76.416
550000;2.35214616;-88.331
600000;1.289843139;-97.812
700000;0.257442603;-109.49
800000;-1.668233559;-120.3
900000;-3.309319018;-127.9
1000000;-8.183277431;-138.04
1250000;-7.747057266;-151.62
1500000;-10.91980105;-160.02
1750000;-14.34758264;-152.96
2000000;-20.30578104;-143.76
3000000;-21.89609707;-103.88
4000000;-22.6159576;-78.851
5000000;-19.95117849;-70.404
6000000;-25.9132276;-63.207
7000000;-20.21048266;-71.112
8000000;-17.65483551;-75.034
9000000;-18.00106962;-79.856
10000000;-20.18227509;-78.356
