frequency;MAG;PHA
100000;101.5241059;35.795
200000;98.74412434;53.753
300000;97.38015629;61.695
400000;96.68716833;65.337
500000;96.2920779;68.217
600000;96.00520346;68.934
700000;95.79794762;68.821
800000;95.72344035;68.193
850000;95.58350038;67.731
900000;95.54789667;67.284
950000;95.49803864;67.021
1000000;95.46063879;66.366
1100000;95.38294141;65.498
1200000;95.33518707;64.778
1300000;95.29406809;64.255
1500000;95.20486719;63.006
1750000;95.14672857;62.007
2000000;95.29210138;60.207
2500000;95.19857803;56.718
3000000;94.96891317;52.839
3500000;94.92652898;49.273
4000000;94.89703462;45.82
5000000;94.94519377;39.791
6000000;94.87338023;36.714
7000000;94.87553386;33.08
8000000;94.818472;34.496
9000000;94.8648661;33.208
10000000;95.28690437;33.873
