Freq.	V(vout)
1.00000000000000e+004	(1.87028802238017e+001dB,-6.30917253505822e+000°)
1.02329299228075e+004	(1.87006568669728e+001dB,-6.45509052617985e+000°)
1.04712854805090e+004	(1.86983299382253e+001dB,-6.60433359491064e+000°)
1.07151930523761e+004	(1.86958946718446e+001dB,-6.75697399936715e+000°)
1.09647819614318e+004	(1.86933460884484e+001dB,-6.91308531953084e+000°)
1.12201845430196e+004	(1.86906789859415e+001dB,-7.07274246341402e+000°)
1.14815362149688e+004	(1.86878879301392e+001dB,-7.23602167175155e+000°)
1.17489755493953e+004	(1.86849672450508e+001dB,-7.40300052108494e+000°)
1.20226443461741e+004	(1.86819110028183e+001dB,-7.57375792509735e+000°)
1.23026877081238e+004	(1.86787130133023e+001dB,-7.74837413404896e+000°)
1.25892541179417e+004	(1.86753668133112e+001dB,-7.92693073215370e+000°)
1.28824955169313e+004	(1.86718656554664e+001dB,-8.10951063272858e+000°)
1.31825673855641e+004	(1.86682024967014e+001dB,-8.29619807093760e+000°)
1.34896288259165e+004	(1.86643699863896e+001dB,-8.48707859394166e+000°)
1.38038426460288e+004	(1.86603604540992e+001dB,-8.68223904825631e+000°)
1.41253754462275e+004	(1.86561658969734e+001dB,-8.88176756410803e+000°)
1.44543977074593e+004	(1.86517779667366e+001dB,-9.08575353656899e+000°)
1.47910838816821e+004	(1.86471879563259e+001dB,-9.29428760323957e+000°)
1.51356124843621e+004	(1.86423867861535e+001dB,-9.50746161823611e+000°)
1.54881661891248e+004	(1.86373649900018e+001dB,-9.72536862223041e+000°)
1.58489319246111e+004	(1.86321127005595e+001dB,-9.94810280827583e+000°)
1.62181009735893e+004	(1.86266196346068e+001dB,-1.01757594831434e+001°)
1.65958690743756e+004	(1.86208750778601e+001dB,-1.04084350238803e+001°)
1.69824365246174e+004	(1.86148678694911e+001dB,-1.06462268292905e+001°)
1.73780082874937e+004	(1.86085863863344e+001dB,-1.08892332660292e+001°)
1.77827941003892e+004	(1.86020185268061e+001dB,-1.11375536089885e+001°)
1.81970085860998e+004	(1.85951516945525e+001dB,-1.13912879756436e+001°)
1.86208713666287e+004	(1.85879727818592e+001dB,-1.16505372540211e+001°)
1.90546071796325e+004	(1.85804681528471e+001dB,-1.19154030239369e+001°)
1.94984459975804e+004	(1.85726236264927e+001dB,-1.21859874711504e+001°)
1.99526231496888e+004	(1.85644244595108e+001dB,-1.24623932940695e+001°)
2.04173794466953e+004	(1.85558553291424e+001dB,-1.27447236026388e+001°)
2.08929613085404e+004	(1.85469003158988e+001dB,-1.30330818090394e+001°)
2.13796208950223e+004	(1.85375428863156e+001dB,-1.33275715098257e+001°)
2.18776162394955e+004	(1.85277658757772e+001dB,-1.36282963591291e+001°)
2.23872113856834e+004	(1.85175514714779e+001dB,-1.39353599325550e+001°)
2.29086765276777e+004	(1.85068811955950e+001dB,-1.42488655814129e+001°)
2.34422881531992e+004	(1.84957358887517e+001dB,-1.45689162769226e+001°)
2.39883291901949e+004	(1.84840956938580e+001dB,-1.48956144440546e+001°)
2.45470891568503e+004	(1.84719400404258e+001dB,-1.52290617846801e+001°)
2.51188643150958e+004	(1.84592476294584e+001dB,-1.55693590897230e+001°)
2.57039578276886e+004	(1.84459964190272e+001dB,-1.59166060400369e+001°)
2.63026799189538e+004	(1.84321636106528e+001dB,-1.62709009957563e+001°)
2.69153480392691e+004	(1.84177256366186e+001dB,-1.66323407739089e+001°)
2.75422870333816e+004	(1.84026581483520e+001dB,-1.70010204141191e+001°)
2.81838293126445e+004	(1.83869360060168e+001dB,-1.73770329322800e+001°)
2.88403150312660e+004	(1.83705332694703e+001dB,-1.77604690621261e+001°)
2.95120922666638e+004	(1.83534231907435e+001dB,-1.81514169847041e+001°)
3.01995172040201e+004	(1.83355782082156e+001dB,-1.85499620458063e+001°)
3.09029543251359e+004	(1.83169699426556e+001dB,-1.89561864615114e+001°)
3.16227766016837e+004	(1.82975691953177e+001dB,-1.93701690120646e+001°)
3.23593656929628e+004	(1.82773459482766e+001dB,-1.97919847244208e+001°)
3.31131121482591e+004	(1.82562693672003e+001dB,-2.02217045438809e+001°)
3.38844156139202e+004	(1.82343078067591e+001dB,-2.06593949953640e+001°)
3.46736850452531e+004	(1.82114288188743e+001dB,-2.11051178349744e+001°)
3.54813389233575e+004	(1.81875991640127e+001dB,-2.15589296926584e+001°)
3.63078054770101e+004	(1.81627848257320e+001dB,-2.20208817068760e+001°)
3.71535229097172e+004	(1.81369510286834e+001dB,-2.24910191523616e+001°)
3.80189396320560e+004	(1.81100622602725e+001dB,-2.29693810621990e+001°)
3.89045144994280e+004	(1.80820822961758e+001dB,-2.34559998455900e+001°)
3.98107170553496e+004	(1.80529742299022e+001dB,-2.39509009028632e+001°)
4.07380277804112e+004	(1.80227005065777e+001dB,-2.44541022394311e+001°)
4.16869383470335e+004	(1.79912229611209e+001dB,-2.49656140805733e+001°)
4.26579518801592e+004	(1.79585028609571e+001dB,-2.54854384890916e+001°)
4.36515832240165e+004	(1.79245009534049e+001dB,-2.60135689880487e+001°)
4.46683592150962e+004	(1.78891775178414e+001dB,-2.65499901909636e+001°)
4.57088189614874e+004	(1.78524924227313e+001dB,-2.70946774419923e+001°)
4.67735141287197e+004	(1.78144051875712e+001dB,-2.76475964687694e+001°)
4.78630092322637e+004	(1.77748750497739e+001dB,-2.82087030507171e+001°)
4.89778819368445e+004	(1.77338610364747e+001dB,-2.87779427057494e+001°)
5.01187233627271e+004	(1.76913220412081e+001dB,-2.93552503983952e+001°)
5.12861383991363e+004	(1.76472169053587e+001dB,-2.99405502724436e+001°)
5.24807460249771e+004	(1.76015045042434e+001dB,-3.05337554112667e+001°)
5.37031796370251e+004	(1.75541438376381e+001dB,-3.11347676289956e+001°)
5.49540873857623e+004	(1.75050941245082e+001dB,-3.17434772957209e+001°)
5.62341325190347e+004	(1.74543149016530e+001dB,-3.23597631998417e+001°)
5.75439937337155e+004	(1.74017661259217e+001dB,-3.29834924506098e+001°)
5.88843655355587e+004	(1.73474082796029e+001dB,-3.36145204237929e+001°)
6.02559586074356e+004	(1.72912024785402e+001dB,-3.42526907532185e+001°)
6.16595001861480e+004	(1.72331105824718e+001dB,-3.48978353707587e+001°)
6.30957344480191e+004	(1.71730953070431e+001dB,-3.55497745970614e+001°)
6.45654229034654e+004	(1.71111203368947e+001dB,-3.62083172850506e+001°)
6.60693448007594e+004	(1.70471504391827e+001dB,-3.68732610178748e+001°)
6.76082975391980e+004	(1.69811515768507e+001dB,-3.75443923626175e+001°)
6.91830970918934e+004	(1.69130910209388e+001dB,-3.82214871806638e+001°)
7.07945784384136e+004	(1.68429374611862e+001dB,-3.89043109951755e+001°)
7.24435960074988e+004	(1.67706611141664e+001dB,-3.95926194156492e+001°)
7.41310241300915e+004	(1.66962338281783e+001dB,-4.02861586190294e+001°)
7.58577575029181e+004	(1.66196291841149e+001dB,-4.09846658863336e+001°)
7.76247116628689e+004	(1.65408225915348e+001dB,-4.16878701932115e+001°)
7.94328234724279e+004	(1.64597913791771e+001dB,-4.23954928523294e+001°)
8.12830516164096e+004	(1.63765148791836e+001dB,-4.31072482049398e+001°)
8.31763771102668e+004	(1.62909745043246e+001dB,-4.38228443584787e+001°)
8.51138038202373e+004	(1.62031538175702e+001dB,-4.45419839665350e+001°)
8.70963589956077e+004	(1.61130385933980e+001dB,-4.52643650470721e+001°)
8.91250938133742e+004	(1.60206168702900e+001dB,-4.59896818343472e+001°)
9.12010839355906e+004	(1.59258789939410e+001dB,-4.67176256595929e+001°)
9.33254300796988e+004	(1.58288176507746e+001dB,-4.74478858551885e+001°)
9.54992586021432e+004	(1.57294278914436e+001dB,-4.81801506767756e+001°)
9.77237220955807e+004	(1.56277071440823e+001dB,-4.89141082375606e+001°)
9.99999999999996e+004	(1.55236552171615e+001dB,-4.96494474488992e+001°)
1.02329299228075e+005	(1.54172742918950e+001dB,-5.03858589611874e+001°)
1.04712854805090e+005	(1.53085689042340e+001dB,-5.11230360990764e+001°)
1.07151930523760e+005	(1.51975459165827e+001dB,-5.18606757850987e+001°)
1.09647819614318e+005	(1.50842144794536e+001dB,-5.25984794459310e+001°)
1.12201845430196e+005	(1.49685859833714e+001dB,-5.33361538957227e+001°)
1.14815362149688e+005	(1.48506740014129e+001dB,-5.40734121911918e+001°)
1.17489755493952e+005	(1.47304942228496e+001dB,-5.48099744535129e+001°)
1.20226443461741e+005	(1.46080643784243e+001dB,-5.55455686524050e+001°)
1.23026877081238e+005	(1.44834041578585e+001dB,-5.62799313482495e+001°)
1.25892541179416e+005	(1.43565351202363e+001dB,-5.70128083885340e+001°)
1.28824955169313e+005	(1.42274805979557e+001dB,-5.77439555554057e+001°)
1.31825673855640e+005	(1.40962655949723e+001dB,-5.84731391616362e+001°)
1.34896288259165e+005	(1.39629166800829e+001dB,-5.92001365928230e+001°)
1.38038426460288e+005	(1.38274618760142e+001dB,-5.99247367941839e+001°)
1.41253754462275e+005	(1.36899305450845e+001dB,-6.06467407008286e+001°)
1.44543977074592e+005	(1.35503532722040e+001dB,-6.13659616109078e+001°)
1.47910838816820e+005	(1.34087617459678e+001dB,-6.20822255015379e+001°)
1.51356124843620e+005	(1.32651886385745e+001dB,-6.27953712878727e+001°)
1.54881661891247e+005	(1.31196674852769e+001dB,-6.35052510261389e+001°)
1.58489319246111e+005	(1.29722325640384e+001dB,-6.42117300618617e+001°)
1.62181009735892e+005	(1.28229187760282e+001dB,-6.49146871248784e+001°)
1.65958690743755e+005	(1.26717615275480e+001dB,-6.56140143730684e+001°)
1.69824365246174e+005	(1.25187966139310e+001dB,-6.63096173870201e+001°)
1.73780082874937e+005	(1.23640601059109e+001dB,-6.70014151180966e+001°)
1.77827941003891e+005	(1.22075882388987e+001dB,-6.76893397925663e+001°)
1.81970085860998e+005	(1.20494173055610e+001dB,-6.83733367746220e+001°)
1.86208713666286e+005	(1.18895835520325e+001dB,-6.90533643912293e+001°)
1.90546071796324e+005	(1.17281230780493e+001dB,-6.97293937218203e+001°)
1.94984459975804e+005	(1.15650717412336e+001dB,-7.04014083558892e+001°)
1.99526231496887e+005	(1.14004650657139e+001dB,-7.10694041215472e+001°)
2.04173794466952e+005	(1.12343381552144e+001dB,-7.17333887880664e+001°)
2.08929613085403e+005	(1.10667256107053e+001dB,-7.23933817453848e+001°)
2.13796208950222e+005	(1.08976614526602e+001dB,-7.30494136634580e+001°)
2.18776162394954e+005	(1.07271790479321e+001dB,-7.37015261342394e+001°)
2.23872113856833e+005	(1.05553110412189e+001dB,-7.43497712989426e+001°)
2.29086765276776e+005	(1.03820892910630e+001dB,-7.49942114630979e+001°)
2.34422881531991e+005	(1.02075448102951e+001dB,-7.56349187017616e+001°)
