v1	V(vout)
-9.000000000000000e+000	-8.996099e+000
-8.900000000000000e+000	-8.996091e+000
-8.800000000000001e+000	-8.996082e+000
-8.700000000000001e+000	-8.996075e+000
-8.600000000000001e+000	-8.996066e+000
-8.500000000000002e+000	-8.996058e+000
-8.400000000000002e+000	-8.996049e+000
-8.300000000000003e+000	-8.996040e+000
-8.200000000000003e+000	-8.996032e+000
-8.100000000000003e+000	-8.996023e+000
-8.000000000000004e+000	-8.996015e+000
-7.900000000000004e+000	-8.996006e+000
-7.800000000000004e+000	-8.995997e+000
-7.700000000000005e+000	-8.995989e+000
-7.600000000000005e+000	-8.995980e+000
-7.500000000000005e+000	-8.995972e+000
-7.400000000000006e+000	-8.995963e+000
-7.300000000000006e+000	-8.995955e+000
-7.200000000000006e+000	-8.995946e+000
-7.100000000000007e+000	-8.995937e+000
-7.000000000000007e+000	-8.995929e+000
-6.900000000000008e+000	-8.995920e+000
-6.800000000000008e+000	-8.995912e+000
-6.700000000000008e+000	-8.995903e+000
-6.600000000000009e+000	-8.995894e+000
-6.500000000000009e+000	-8.995886e+000
-6.400000000000009e+000	-8.995877e+000
-6.300000000000010e+000	-8.995869e+000
-6.200000000000010e+000	-8.995860e+000
-6.100000000000010e+000	-8.995851e+000
-6.000000000000011e+000	-8.995818e+000
-5.900000000000011e+000	-8.995338e+000
-5.800000000000011e+000	-8.988602e+000
-5.700000000000012e+000	-8.949216e+000
-5.600000000000012e+000	-8.818099e+000
-5.500000000000012e+000	-8.660798e+000
-5.400000000000013e+000	-8.503327e+000
-5.300000000000013e+000	-8.345859e+000
-5.200000000000014e+000	-8.188391e+000
-5.100000000000014e+000	-8.030922e+000
-5.000000000000014e+000	-7.873453e+000
-4.900000000000015e+000	-7.715985e+000
-4.800000000000015e+000	-7.558517e+000
-4.700000000000015e+000	-7.401048e+000
-4.600000000000016e+000	-7.243579e+000
-4.500000000000016e+000	-7.086111e+000
-4.400000000000016e+000	-6.928642e+000
-4.300000000000017e+000	-6.771174e+000
-4.200000000000017e+000	-6.613706e+000
-4.100000000000017e+000	-6.456237e+000
-4.000000000000018e+000	-6.298769e+000
-3.900000000000018e+000	-6.141300e+000
-3.800000000000018e+000	-5.983832e+000
-3.700000000000018e+000	-5.826364e+000
-3.600000000000017e+000	-5.668895e+000
-3.500000000000017e+000	-5.511426e+000
-3.400000000000017e+000	-5.353958e+000
-3.300000000000017e+000	-5.196490e+000
-3.200000000000017e+000	-5.039021e+000
-3.100000000000017e+000	-4.881553e+000
-3.000000000000017e+000	-4.724085e+000
-2.900000000000017e+000	-4.566617e+000
-2.800000000000017e+000	-4.409148e+000
-2.700000000000017e+000	-4.251679e+000
-2.600000000000017e+000	-4.094211e+000
-2.500000000000016e+000	-3.936743e+000
-2.400000000000016e+000	-3.779275e+000
-2.300000000000016e+000	-3.621806e+000
-2.200000000000016e+000	-3.464338e+000
-2.100000000000016e+000	-3.306870e+000
-2.000000000000016e+000	-3.149401e+000
-1.900000000000016e+000	-2.991933e+000
-1.800000000000016e+000	-2.834465e+000
-1.700000000000016e+000	-2.676996e+000
-1.600000000000016e+000	-2.519528e+000
-1.500000000000016e+000	-2.362060e+000
-1.400000000000016e+000	-2.204592e+000
-1.300000000000015e+000	-2.047123e+000
-1.200000000000015e+000	-1.889655e+000
-1.100000000000015e+000	-1.732187e+000
-1.000000000000015e+000	-1.574719e+000
-9.000000000000151e-001	-1.417250e+000
-8.000000000000151e-001	-1.259782e+000
-7.000000000000152e-001	-1.102314e+000
-6.000000000000152e-001	-9.448457e-001
-5.000000000000152e-001	-7.873774e-001
-4.000000000000152e-001	-6.299092e-001
-3.000000000000153e-001	-4.724410e-001
-2.000000000000153e-001	-3.149728e-001
-1.000000000000152e-001	-1.575046e-001
-1.523781101298027e-014	-3.644005e-005
9.999999999998477e-002	1.574317e-001
1.999999999999848e-001	3.148999e-001
2.999999999999848e-001	4.723681e-001
3.999999999999848e-001	6.298363e-001
4.999999999999848e-001	7.873044e-001
5.999999999999848e-001	9.447725e-001
6.999999999999848e-001	1.102241e+000
7.999999999999847e-001	1.259709e+000
8.999999999999847e-001	1.417177e+000
9.999999999999847e-001	1.574645e+000
1.099999999999985e+000	1.732113e+000
1.199999999999985e+000	1.889581e+000
1.299999999999985e+000	2.047050e+000
1.399999999999985e+000	2.204518e+000
1.499999999999985e+000	2.361986e+000
1.599999999999985e+000	2.519454e+000
1.699999999999985e+000	2.676922e+000
1.799999999999985e+000	2.834390e+000
1.899999999999986e+000	2.991858e+000
1.999999999999986e+000	3.149326e+000
2.099999999999985e+000	3.306794e+000
2.199999999999986e+000	3.464262e+000
2.299999999999986e+000	3.621730e+000
2.399999999999986e+000	3.779198e+000
2.499999999999986e+000	3.936666e+000
2.599999999999986e+000	4.094134e+000
2.699999999999986e+000	4.251602e+000
