Freq.	V(vin)/I(R3)
5.00000000000000e+004	(8.20759390602713e+001dB,1.79988613638504e+002°)
5.11646496140377e+004	(8.20759330910384e+001dB,1.79988350963224e+002°)
5.23564274025450e+004	(8.20759268426468e+001dB,1.79988082350845e+002°)
5.35759652618803e+004	(8.20759203021480e+001dB,1.79987807675953e+002°)
5.48239098071593e+004	(8.20759134560031e+001dB,1.79987526811123e+002°)
5.61009227150982e+004	(8.20759062900568e+001dB,1.79987239626933e+002°)
5.74076810748441e+004	(8.20758987895109e+001dB,1.79986945991990e+002°)
5.87448777469765e+004	(8.20758909388958e+001dB,1.79986645772953e+002°)
6.01132217308706e+004	(8.20758827220415e+001dB,1.79986338834567e+002°)
6.15134385406191e+004	(8.20758741220474e+001dB,1.79986025039704e+002°)
6.29462705897084e+004	(8.20758651212509e+001dB,1.79985704249400e+002°)
6.44124775846567e+004	(8.20758557011945e+001dB,1.79985376322918e+002°)
6.59128369278203e+004	(8.20758458425923e+001dB,1.79985041117798e+002°)
6.74481441295827e+004	(8.20758355252944e+001dB,1.79984698489931e+002°)
6.90192132301442e+004	(8.20758247282511e+001dB,1.79984348293635e+002°)
7.06268772311377e+004	(8.20758134294747e+001dB,1.79983990381738e+002°)
7.22719885372963e+004	(8.20758016060006e+001dB,1.79983624605680e+002°)
7.39554194084103e+004	(8.20757892338468e+001dB,1.79983250815617e+002°)
7.56780624218104e+004	(8.20757762879724e+001dB,1.79982868860542e+002°)
7.74408309456240e+004	(8.20757627422340e+001dB,1.79982478588418e+002°)
7.92446596230556e+004	(8.20757485693415e+001dB,1.79982079846322e+002°)
8.10905048679465e+004	(8.20757337408120e+001dB,1.79981672480610e+002°)
8.29793453718780e+004	(8.20757182269220e+001dB,1.79981256337090e+002°)
8.49121826230872e+004	(8.20757019966592e+001dB,1.79980831261215e+002°)
8.68900414374687e+004	(8.20756850176719e+001dB,1.79980397098296e+002°)
8.89139705019461e+004	(8.20756672562174e+001dB,1.79979953693734e+002°)
9.09850429304991e+004	(8.20756486771091e+001dB,1.79979500893266e+002°)
